Price,Adj Close,Close,High,Low,Open,Volume,return,vol_mean_10,vol_std_10,log_return,ma5,ma10,ma20,ema12,ema26,macd,volatility_10,volatility_20,rsi,bb_mid,bb_std,bb_upper,bb_lower,vol_ratio,lag_close_1,lag_return_1,lag_close_2,lag_return_2,lag_close_3,lag_return_3,lag_close_4,lag_return_4,lag_close_5,lag_return_5,target
2015-02-02,14.062666893005373,14.062666893005373,14.130000114440918,13.553333282470703,13.597999572753906,62238000.0,0.0360511389604945,54121650.0,8771162.62105542,0.03541650455001054,13.667866706848145,13.486999988555908,13.522466564178467,13.599684788195862,13.752678258778072,-0.15299347058221002,0.0220804162396119,0.02422096149223531,32.72486356740485,13.356809479849678,0.4150199226999202,14.186849325249518,12.526769634449838,1.1499649400932899,13.57333278656006,-0.007797333058198963,13.68000030517578,0.02924214605280495,13.291333198547363,-0.03209052877530916,13.732000350952148,-0.0027596300325537504,13.770000457763672,0.026131476717216273,1
2015-02-03,14.557332992553713,14.557332992553713,14.691332817077637,14.084667205810549,14.214667320251465,72393000.0,0.0351758385028933,54606150.0,9681756.024864485,0.03457130456060133,13.832933235168458,13.663199996948242,13.550033235549927,13.747015281173992,13.812282313131822,-0.06526703195783057,0.022786729549796523,0.02359184357437427,39.5309372674972,13.423999922616142,0.522543121049763,14.469086164715668,12.378913680516616,1.3257297941715356,14.062666893005373,0.0360511389604945,13.57333278656006,-0.007797333058198963,13.68000030517578,0.02924214605280495,13.291333198547363,-0.03209052877530916,13.732000350952148,-0.0027596300325537504,1
2015-02-04,14.56999969482422,14.56999969482422,14.76533317565918,14.453332901000977,14.552666664123535,49581000.0,0.0008701251992371262,53334750.0,9390283.016235441,0.0008697468597585222,14.088666534423828,13.809733295440674,13.574266576766968,13.873628267889412,13.868409526590519,0.005218741298893548,0.022733273804769576,0.023579129063559457,39.69916649517109,13.547142778124128,0.5762344631370191,14.699611704398166,12.39467385185009,0.9296190569937987,14.557332992553713,0.0351758385028933,14.062666893005373,0.0360511389604945,13.57333278656006,-0.007797333058198963,13.68000030517578,0.02924214605280495,13.291333198547363,-0.03209052877530916,1
2015-02-05,14.732666969299316,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717772,52843500.0,0.011164535201251935,52443750.0,8913310.27873482,0.0111026718029864,14.299199867248536,13.938866710662841,13.607733297348023,14.005788068106321,13.9324285964208,0.07335947168552082,0.022138622940193455,0.02365072795108249,41.93333749426835,13.685809476034981,0.6127881537779152,14.911385783590811,12.460233168479151,1.0076224526278155,14.56999969482422,0.0008701251992371262,14.557332992553713,0.0351758385028933,14.062666893005373,0.0360511389604945,13.57333278656006,-0.007797333058198963,13.68000030517578,0.02924214605280495,0
2015-02-06,14.490667343139648,14.490667343139648,14.893333435058594,14.43333339691162,14.800000190734863,48658500.0,-0.016426056915829212,52151700.0,8992288.635269655,-0.016562460365371068,14.482666778564454,14.046000099182129,13.630200004577636,14.080384879649909,13.97377961469627,0.10660526495363953,0.023417491383780086,0.02401890065079666,39.583660115485024,13.801476206098284,0.5999193881423728,15.001314982383029,12.60163742981354,0.933018482618975,14.732666969299316,0.011164535201251935,14.56999969482422,0.0008701251992371262,14.557332992553713,0.0351758385028933,14.062666893005373,0.0360511389604945,13.57333278656006,-0.007797333058198963,1
2015-02-09,14.498666763305664,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657228,52086000.0,0.0005520394593698796,52508550.0,8902401.559410796,0.0005518871416418817,14.569866752624511,14.118866729736329,13.666266679763794,14.144735938673872,14.012660144222892,0.13207579445098006,0.022594145748089652,0.02352784463505259,39.70393259194004,13.923142910003662,0.5508911564818827,15.024925222967427,12.821360597039897,0.9919527391253424,14.490667343139648,-0.016426056915829212,14.732666969299316,0.011164535201251935,14.56999969482422,0.0008701251992371262,14.557332992553713,0.0351758385028933,14.062666893005373,0.0360511389604945,0
2015-02-10,14.419333457946776,14.419333457946776,14.699999809265137,14.333333015441896,14.50333309173584,80857500.0,-0.005471765552931496,56422800.0,11772017.176338123,-0.005486790495772597,14.542266845703125,14.187600040435791,13.713199996948243,14.186981710869704,14.042784093387624,0.14419761748207982,0.022718884313604172,0.02291911195605108,38.877342532909495,14.017047677721296,0.5112655606734557,15.039578799068208,12.994516556374384,1.433064293158085,14.498666763305664,0.0005520394593698796,14.490667343139648,-0.016426056915829212,14.732666969299316,0.011164535201251935,14.56999969482422,0.0008701251992371262,14.557332992553713,0.0351758385028933,0
2015-02-11,14.186667442321776,14.186667442321776,14.315999984741213,13.8186674118042,14.147333145141602,146536500.0,-0.016135698387415576,66352050.0,30363633.215163823,-0.016267296304893594,14.465600395202637,14.277133464813232,13.741700029373169,14.18693336186233,14.0534421192346,0.1334912426277306,0.020239760455371115,0.023277092141327668,36.478738562139554,14.070285865238734,0.4848271028168263,15.039940070872387,13.100631659605082,2.2084698212037157,14.419333457946776,-0.005471765552931496,14.498666763305664,0.0005520394593698796,14.490667343139648,-0.016426056915829212,14.732666969299316,0.011164535201251935,14.56999969482422,0.0008701251992371262,0
2015-02-12,13.525333404541016,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000.0,-0.046616588460223096,84504300.0,60723368.812179714,-0.04773813562880035,14.224133682250976,14.261666774749756,13.7756667137146,14.085148753043667,14.014322955183223,0.07082579786044363,0.024606457611162893,0.02202075691613965,30.683857354093746,14.077857289995466,0.47459916142882685,15.02705561285312,13.128658967137811,2.7778941426649295,14.186667442321776,-0.016135698387415576,14.419333457946776,-0.005471765552931496,14.498666763305664,0.0005520394593698796,14.490667343139648,-0.016426056915829212,14.732666969299316,0.011164535201251935,1
2015-02-13,13.584667205810549,13.584667205810549,13.732666969299316,13.394000053405762,13.526666641235352,92865000.0,0.004386864226918918,89280300.0,59137732.25192187,0.004377269986898078,14.042933654785156,14.262800216674805,13.81533341407776,14.00815159193088,13.98249660337784,0.025654988553039715,0.024526492736191483,0.021959508013109644,31.731685078192683,14.064619200570244,0.48628765657629186,15.037194513722827,13.09204388741766,1.0401510747611735,13.525333404541016,-0.046616588460223096,14.186667442321776,-0.016135698387415576,14.419333457946776,-0.005471765552931496,14.498666763305664,0.0005520394593698796,14.490667343139648,-0.016426056915829212,1
